Country_Period,Correlation_with_Chile,Chile_Period
Costa Rica_15,0.8700530947049825,Chile_15
Costa Rica_16,0.8641123517527682,Chile_16
Netherlands_16,0.8523781370440275,Chile_16
Costa Rica_18,0.8754127122675825,Chile_18
Panama_18,0.8660802393902606,Chile_18
Brazil_19,0.8869973142172478,Chile_19
Costa Rica_19,0.9206121425677405,Chile_19
Dominican Republic_19,0.8742221362081967,Chile_19
Germany_19,0.8837975203632213,Chile_19
Luxembourg_19,0.8840719383466705,Chile_19
Norway_19,0.8626369577974714,Chile_19
Panama_19,0.8653596597741333,Chile_19
Peru_19,0.8790796217102665,Chile_19
Uruguay_19,0.8676442445015965,Chile_19
Australia_20,0.8644066047752382,Chile_20
Austria_20,0.8560981496924633,Chile_20
Belgium_20,0.8994423825976653,Chile_20
Canada_20,0.8797484100340562,Chile_20
Dominican Republic_20,0.8524015820367469,Chile_20
Iceland_20,0.9042578901711091,Chile_20
Japan_20,0.8970349812832786,Chile_20
Norway_20,0.9072838898634686,Chile_20
Panama_20,0.8522360921010252,Chile_20
Portugal_20,0.8976376150529785,Chile_20
Slovenia_20,0.893234622086116,Chile_20
Spain_20,0.9401791064185246,Chile_20
United Kingdom_20,0.9025742838369418,Chile_20
Brazil_21,0.8909340975341407,Chile_21
Germany_21,0.9063429219730502,Chile_21
Iceland_21,0.9143867018874525,Chile_21
Lithuania_21,0.8558292838919608,Chile_21
Netherlands_21,0.908450873631933,Chile_21
